Model,CalculationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,IsSchool,IsSchoolCalculationUnit,CalculationUnitType,CalculationUnitName,CalculationUnitSequence,SchoolCalculationUnitCount,OperationalEnrollmentBasis,CharterBuildingPolicy,FundingSection,Component,RateComponent,QuantityType,SourceField,Rule,RawInputValue,AppliedFactor,FundingQuantity,CalculationStatus,CalculationComplete,ProvidedFundingRate,RateBasis,RateSourceCell,RecalculatedFundingRate,SelectedFundingRate,SelectedMethod,FundingRate,RateMethod,RateAvailable,FundingAmount,FundingComplete
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.,68,0.11904761904761904,8.095238095238095,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E8,,,,96155,provided,TRUE,778397.619047619,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,"Twenty percent of all Base Division I positions, including vocational/program adjustment rows.",53.32714692714693,0.2,10.665429385429386,Calculated from school calculation-unit Base Division I positions,TRUE,96155,Per position,Calculator!E16,,,,96155,provided,TRUE,1025534.3625559626,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.,1,1,1,One principal per calculator charter building,TRUE,153065,Per position,Calculator!E13,,,,153065,provided,TRUE,153065,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed.",-0,1,-0,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed.",0,1,0,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,32.541758241758245,,3,Calculated using threshold formula,TRUE,74017,Per position,Calculator!E15,,,,74017,provided,TRUE,222051,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",34.541758241758245,,1,Calculated using threshold formula,TRUE,134266,Per position,Calculator!E14,,,,134266,provided,TRUE,134266,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,345,0.05,17.25,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E7,,,,96155,provided,TRUE,1658673.75,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.,3,0.3846153846153846,1.1538461538461535,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E10,,,,96155,provided,TRUE,110948.0769230769,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.,28,0.16666666666666666,4.666666666666667,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E9,,,,96155,provided,TRUE,448723.3333333334,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.,0,0.0617283950617284,0,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E6,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.,27,0.11904761904761904,3.214285714285714,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E8,,,,96155,provided,TRUE,309069.64285714284,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,"Twenty percent of all Base Division I positions, including vocational/program adjustment rows.",26.284798534798536,0.2,5.256959706959708,Calculated from school calculation-unit Base Division I positions,TRUE,96155,Per position,Calculator!E16,,,,96155,provided,TRUE,505482.9606227107,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.,1,1,1,One principal per calculator charter building,TRUE,153065,Per position,Calculator!E13,,,,153065,provided,TRUE,153065,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed.",-0,1,-0,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Junior High,2,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed.",0,1,0,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,37.49573626373626,,3,Calculated using threshold formula,TRUE,74017,Per position,Calculator!E15,,,,74017,provided,TRUE,222051,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",39.49573626373626,,1,Calculated using threshold formula,TRUE,134266,Per position,Calculator!E14,,,,134266,provided,TRUE,134266,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,291,0.05,14.55,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E7,,,,96155,provided,TRUE,1399055.25,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.,8,0.3846153846153846,3.0769230769230766,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E10,,,,96155,provided,TRUE,295861.53846153844,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.,33,0.16666666666666666,5.5,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E9,,,,96155,provided,TRUE,528852.5,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.,0,0.0617283950617284,0,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E6,,,,96155,provided,TRUE,0,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.,46,0.11904761904761904,5.476190476190476,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E8,,,,96155,provided,TRUE,526563.0952380953,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,"Twenty percent of all Base Division I positions, including vocational/program adjustment rows.",30.41311355311355,0.2,6.0826227106227115,Calculated from school calculation-unit Base Division I positions,TRUE,96155,Per position,Calculator!E16,,,,96155,provided,TRUE,584874.5867399268,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.,1,1,1,One principal per calculator charter building,TRUE,153065,Per position,Calculator!E13,,,,153065,provided,TRUE,153065,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed.",-1.82,1,-1.82,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,-175002.1,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira High School,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed.",3.63,1,3.63,Shared charter total allocated across buildings,TRUE,96155,Per position,Calculator!E11; Calculator!E12,,,,96155,provided,TRUE,349042.64999999997,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Basic Special Education,Operational Funding - Basic Special Education,Weighted student,EnrollmentPreK + EnrollmentBasicK12,Basic Pre-K special education plus Basic K-12 enrollment multiplied by 0.48.,141,0.48,67.67999999999999,Calculated from official shared school/charter total,TRUE,3244.992535780311,Per weighted student,Calculator!E28,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,219943.23290991032,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Complex Special Education,Operational Funding - Complex Special Education,Weighted student,EnrollmentComplex,Complex enrollment multiplied by 1.54.,20,1.54,30.8,Calculated from official shared school/charter total,TRUE,3244.992535780311,Per weighted student,Calculator!E30,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,100092.36958666133,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Enrollment,Operational Funding - Enrollment,Weighted student,OperationalEnrollmentCount,The selected operational enrollment count multiplied by 0.20.,1475,0.2,295,Calculated using total enrollment,TRUE,3244.992535780311,Per weighted student,Calculator!E25,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,958676.9164956198,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Intensive Special Education,Operational Funding - Intensive Special Education,Weighted student,EnrollmentIntense,Intensive enrollment multiplied by 0.67.,116,0.67,77.72,Calculated from official shared school/charter total,TRUE,3244.992535780311,Per weighted student,Calculator!E29,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,252570.74559335448,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Low Income,Operational Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.,402,0.675,271.35,Calculated from official shared school/charter total,TRUE,3244.992535780311,Per weighted student,Calculator!E26,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,881820.2755630049,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,FALSE,Charter organization total,ASPIRA Academy,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Multilingual Learner,Operational Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.,493,0.47,231.71,Calculated from official shared school/charter total,TRUE,3244.992535780311,Per weighted student,Calculator!E27,3249.752259307186,3249.752259307186,recalculated,3249.752259307186,recalculated,TRUE,753000.096004068,TRUE
